City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
417,Itarema,BR,79.54,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
420,Loiza,PR,82.4,scattered clouds,18.4313,-65.8802,Malibu Beachfront
421,Mahibadhoo,MV,83.07,few clouds,3.7833,72.9667,Omadhoo Inn
426,Biak,ID,83.86,scattered clouds,-0.9131,122.8766,Penginapan Kim
429,Vao,NC,70.65,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
430,Blytheville,US,77.99,clear sky,35.9273,-89.919,Days Inn by Wyndham Blytheville
431,Jacqueville,CI,78.71,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
432,Wawa,NG,76.93,few clouds,9.9022,4.4192,
444,Nelson Bay,AU,75.96,clear sky,-32.7167,152.15,Mantra Nelson Bay
447,Monrovia,LR,75.24,heavy intensity rain,6.3005,-10.7969,Sunset Inn
448,Wanaka,NZ,72.1,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
449,Marsh Harbour,BS,80.46,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
451,Moranbah,AU,88.43,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
452,Djenne,ML,84.29,few clouds,13.9061,-4.5533,Hôtel Chez Baba
455,Tibiri,NE,83.97,few clouds,13.5627,7.0485,
457,Kawalu,ID,76.12,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
459,Contamana,PE,85.17,few clouds,-7.3333,-75.0167,Shiringal Touristic Park
462,Mount Pleasant,US,72.99,clear sky,32.7941,-79.8626,Best Western Patriots Point
464,Mamallapuram,IN,78.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
466,Balikpapan,ID,81.59,moderate rain,-1.2675,116.8289,ibis Balikpapan
470,Aripuana,BR,76.8,moderate rain,-9.1667,-60.6333,
473,Muisne,EC,76.1,light rain,0.6,-80.0333,Quinta Samay
475,Mananjary,MG,75.49,light rain,-21.2167,48.3333,Vahiny Lodge
477,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
480,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
482,Pringsewu,ID,80.82,overcast clouds,-5.3582,104.9744,Urban Style by Front One
484,Umm Kaddadah,SD,81.84,clear sky,13.6017,26.6876,
493,Prainha,BR,78.94,clear sky,-1.8,-53.48,Casa Rocha
494,Port-Gentil,GA,78.4,light rain,-0.7193,8.7815,Fengshui Residence
496,Liku,ID,83.08,moderate rain,-0.7275,119.8922,Wahyu
