City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Oktyabrskiy,RU,2021-10-24 04:33:31,54.4815,53.471,42.98,93,100,5.3
146,Iquique,CL,2021-10-24 04:43:01,-20.2208,-70.1431,59.04,82,17,3.91
147,Puerto Leguizamo,CO,2021-10-24 04:43:01,-0.1934,-74.7819,75.04,87,73,2.75
148,Veraval,IN,2021-10-24 04:43:01,20.9,70.3667,83.23,57,20,8.05
149,Upernavik,GL,2021-10-24 04:43:02,72.7868,-56.1549,20.82,90,100,16.84
150,Kodiak,US,2021-10-24 04:43:02,57.79,-152.4072,42.51,92,99,21.85
151,Roald,NO,2021-10-24 04:43:03,62.5833,6.1333,53.74,62,90,19.57
152,Lithakia,GR,2021-10-24 04:43:03,37.7167,20.8333,63.68,94,75,0.0
153,Bathsheba,BB,2021-10-24 04:43:03,13.2167,-59.5167,83.01,69,75,21.85
154,Cidreira,BR,2021-10-24 04:43:04,-30.1811,-50.2056,63.09,94,99,14.12
155,Cayenne,GF,2021-10-24 04:38:16,4.9333,-52.3333,80.1,88,20,1.01
156,Amboasary,MG,2021-10-24 04:33:42,-25.0333,46.3833,73.24,53,0,3.42
157,Sistranda,NO,2021-10-24 04:43:04,63.7256,8.834,41.9,80,100,14.45
158,Aduturai,IN,2021-10-24 04:43:05,11.0147,79.4791,89.06,57,47,2.95
159,Ostrovnoy,RU,2021-10-24 04:43:05,68.0531,39.5131,24.71,90,59,17.81
160,Lazaro Cardenas,MX,2021-10-24 04:43:06,17.9583,-102.2,76.24,88,100,5.46
161,Rudbar,AF,2021-10-24 04:43:06,30.15,62.6,62.55,18,0,3.98
162,Souillac,MU,2021-10-24 04:43:06,-20.5167,57.5167,79.36,78,40,13.8
163,Aksu,CN,2021-10-24 04:39:14,41.1231,80.2644,55.56,24,4,3.65
164,San Patricio,US,2021-10-24 04:43:07,28.017,-97.5169,80.46,75,3,7.78
165,Kapaa,US,2021-10-24 04:43:07,22.0752,-159.319,82.38,82,75,1.99
166,Ludvika,SE,2021-10-24 04:43:08,60.1496,15.1878,41.04,92,100,8.9
167,Yefremov,RU,2021-10-24 04:43:08,53.1481,38.0992,40.15,74,100,14.9
168,Kieta,PG,2021-10-24 04:43:08,-6.2167,155.6333,83.43,75,20,5.28
169,Monte Patria,CL,2021-10-24 04:43:09,-30.6919,-70.9467,61.77,43,0,0.02
170,Esperance,AU,2021-10-24 04:43:09,-33.8667,121.9,80.44,39,15,7.81
171,Lompoc,US,2021-10-24 04:43:10,34.6391,-120.4579,59.56,87,1,3.44
172,Broken Hill,AU,2021-10-24 04:43:10,-31.95,141.4333,69.51,23,0,12.66
173,Kalispell,US,2021-10-24 04:43:10,48.1958,-114.3129,46.44,74,90,4.0
174,Haysville,US,2021-10-24 04:43:11,37.5645,-97.3523,74.82,74,20,7.0
175,Provideniya,RU,2021-10-24 04:43:11,64.3833,-173.3,23.2,79,100,8.81
176,Jos,NG,2021-10-24 04:43:11,9.9167,8.9,65.12,82,51,0.43
177,Yining,CN,2021-10-24 04:43:12,29.0361,114.5636,69.44,50,24,3.11
178,Isangel,VU,2021-10-24 04:43:12,-19.55,169.2667,80.71,78,75,13.8
179,Pimentel,PE,2021-10-24 04:43:12,-6.8367,-79.9342,63.05,88,62,11.45
180,Kiama,AU,2021-10-24 04:34:02,-34.6833,150.8667,72.0,56,29,9.26
181,Komsomolskiy,UZ,2021-10-24 04:43:13,40.4272,71.7189,50.72,40,0,4.61
182,Talnakh,RU,2021-10-24 04:43:13,69.4865,88.3972,22.91,90,100,4.97
183,Sitka,US,2021-10-24 04:43:13,57.0531,-135.33,44.49,81,90,5.75
184,Alto Araguaia,BR,2021-10-24 04:43:14,-17.3147,-53.2153,75.02,68,18,9.19
