City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
238,Vestmanna,FO,2021-10-25 00:50:55,62.1564,-7.1664,overcast clouds,49.12,93,90,18.41
239,Lagoa,PT,2021-10-25 00:50:55,39.05,-27.9833,broken clouds,66.13,73,54,7.07
240,Acapulco,MX,2021-10-25 00:50:55,16.8634,-99.8901,overcast clouds,75.02,94,90,13.8
241,Upernavik,GL,2021-10-25 00:50:56,72.7868,-56.1549,clear sky,14.38,67,0,5.93
242,Beruwala,LK,2021-10-25 00:50:56,6.4788,79.9828,overcast clouds,78.58,86,96,4.65
243,Grand Gaube,MU,2021-10-25 00:50:56,-20.0064,57.6608,overcast clouds,74.37,71,90,5.99
244,Tevaitoa,PF,2021-10-25 00:50:57,-16.7833,-151.5,moderate rain,76.01,89,100,12.64
245,Ukiah,US,2021-10-25 00:50:57,39.1502,-123.2078,light rain,56.12,94,90,0.0
246,Husavik,IS,2021-10-25 00:50:57,66.0449,-17.3389,overcast clouds,39.11,97,100,13.85
247,Buala,SB,2021-10-25 00:49:11,-8.145,159.5921,light rain,85.08,69,42,1.25
248,New Iberia,US,2021-10-25 00:50:58,30.0035,-91.8187,clear sky,75.96,83,1,5.75
249,Varhaug,NO,2021-10-25 00:50:58,58.6147,5.6457,overcast clouds,50.9,92,100,18.84
250,Salinopolis,BR,2021-10-25 00:50:58,-0.6136,-47.3561,clear sky,80.92,82,0,11.77
251,Abay,KZ,2021-10-25 00:49:19,49.6311,72.8539,broken clouds,25.18,57,60,6.93
252,Lasa,IT,2021-10-25 00:50:59,46.6166,10.7002,overcast clouds,53.06,28,90,3.0
253,Vallenar,CL,2021-10-25 00:50:59,-28.5708,-70.7581,clear sky,69.12,41,0,4.03
254,Tianpeng,CN,2021-10-25 00:51:00,30.9866,103.9393,overcast clouds,61.63,81,100,1.23
255,Chaohu,CN,2021-10-25 00:51:00,31.6,117.8667,overcast clouds,57.31,71,100,4.74
256,Pashiya,RU,2021-10-25 00:51:00,58.4324,58.2562,overcast clouds,35.62,95,100,10.04
257,San Ramon,US,2021-10-25 00:51:00,37.7799,-121.978,heavy intensity rain,63.09,95,90,1.99
258,San-Pedro,CI,2021-10-25 00:51:01,4.7485,-6.6363,overcast clouds,76.28,89,90,6.11
259,Nouadhibou,MR,2021-10-25 00:51:02,20.931,-17.0347,overcast clouds,71.58,68,100,14.97
260,Bay Roberts,CA,2021-10-25 00:51:02,47.5999,-53.2648,overcast clouds,55.33,86,99,11.99
